r_lam_D,REQ_ExtContStab,REQ_IntContStab,REQ_AvgRawContrast,REQ_InitStatContrast,ICBE_ExtContStab,ICBE_IntContStab,ICBE_AvgRawContrast,ICBE_InitStatContrast,MCBE_ExtContStab,MCBE_IntContStab,MCBE_AvgRawContrast,MCBE_InitStatContrast
3,7.037880084281010,10.533923915390600,40.529945054686900,20.000000000000000,4.518600086000000,2.445924174000000,17.820001460000000,3.700000000000000,1.635875729000000,1.267307770000000,5.720161708000000,3.9
4,5.065578352186940,6.790619736740250,26.920120166314300,13.000000000000000,3.528204311000000,1.746856364000000,12.634989750000000,2.900000000000000,1.077209689000000,0.869171888000000,3.871296637000000,2.7
5,2.703537722327000,7.793628218615320,21.909539084469700,13.000000000000000,1.612577351000000,1.892246496000000,5.852892521000000,2.000000000000000,0.541981668000000,0.858904789000000,2.530609614000000,1.7
8,2.071980299733280,7.888256332055200,26.160487349251800,20.000000000000000,1.206414907000000,1.981395125000000,5.371487831000000,3.300000000000000,0.449348189000000,0.895995299000000,3.104028544000000,2.5
# from Brian Kern,# allocations have been made consistent with 5 opens and 12 shorted pairs, CBE same from 9/30",,,,,,,,,,,
